City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
305,Saint-Pierre,-21.3393,55.4781,69.48,68,0,11.5,RE,clear sky
306,Miri,4.4148,114.0089,76.15,90,100,1.86,MY,overcast clouds
307,Alofi,-19.0595,-169.9187,76.12,74,36,19.95,NU,scattered clouds
308,Hambantota,6.1241,81.1185,78.46,84,90,14.88,LK,overcast clouds
309,Aitape,-3.1374,142.3475,77.18,89,70,4.72,PG,broken clouds
310,Sitka,57.0531,-135.33,55.29,88,100,6.91,US,overcast clouds
311,Morros,-9.4467,-46.3003,94.39,20,100,7.58,BR,overcast clouds
312,Upleta,21.7333,70.2833,83.8,72,86,8.5,IN,light rain
313,Victoria,22.2855,114.1577,84.25,51,74,6.26,HK,broken clouds
314,Kahului,20.8947,-156.47,82.42,72,40,11.5,US,scattered clouds
315,Saint Anthony,45.0205,-93.218,86.94,49,0,20.71,US,clear sky
316,Costinesti,43.95,28.6333,69.06,64,44,16.93,RO,scattered clouds
317,Ahmadpur East,29.1431,71.2598,93.36,33,1,4.72,PK,clear sky
318,Ballesteros,18.4126,121.5152,80.73,72,100,5.79,PH,overcast clouds
319,Ryotsu,38.0833,138.4333,72.43,84,91,9.15,JP,overcast clouds
320,Izhma,65.0083,53.9113,39.78,90,100,4.85,RU,overcast clouds
321,Birjand,32.8663,59.2211,74.12,20,0,14.74,IR,clear sky
322,Kropotkin,45.4375,40.5756,62.31,40,2,6.55,RU,clear sky
323,Middelburg,-25.7751,29.4648,66.79,33,2,7.2,ZA,clear sky
324,Asau,46.4333,26.4,63.52,76,53,1.81,RO,broken clouds
325,Champerico,14.3,-91.9167,84.67,70,64,7.45,GT,broken clouds
326,Sistranda,63.7256,8.834,58.96,71,89,4.92,NO,overcast clouds
327,Santa Cruz,-17.8,-63.1667,90.86,38,6,31.07,BO,smoke
328,Aswan,24.0934,32.907,92.17,21,7,10.04,EG,clear sky
329,Muzhi,65.3667,64.6667,34.38,83,35,9.06,RU,scattered clouds
330,North Platte,41.1239,-100.7654,93.09,26,0,10.36,US,clear sky
331,Debre Birhan,9.6833,39.5333,51.22,85,11,4.38,ET,few clouds
